Molecule Name,CDD Number,SMILES,SARS-CoV-2-NSP3-MAC1_TR-FRET-dose-response_weizmann: pIC50_Mean,SARS-CoV-2-NSP3-MAC1_TR-FRET-dose-response_weizmann: pIC50_Mean Standard Deviation (±),SARS-CoV-2-NSP3-MAC1_TR-FRET-dose-response_weizmann: pIC50_Mean Count,SARS-COV-2-NSP3-MAC1_X-ray_Diamond: Run Date,SARS-COV-2-NSP3-MAC1_X-ray_Diamond: Experiment Status,SARS-COV-2-NSP3-MAC1_X-ray_Diamond: Soaking time,SARS-COV-2-NSP3-MAC1_X-ray_Diamond: Crystal mounting result,SARS-COV-2-NSP3-MAC1_X-ray_Diamond: Completeness (High res shell),SARS-COV-2-NSP3-MAC1_X-ray_Diamond: Space Group,SARS-COV-2-NSP3-MAC1_X-ray_Diamond: Ligand confidence,SARS-COV-2-NSP3-MAC1_X-ray_Diamond: Fragalysis Link,SARS-COV-2-NSP3-MAC1_X-ray_Diamond: CChalf (overall),SARS-COV-2-NSP3-MAC1_X-ray_Diamond: Completeness (overall),SARS-COV-2-NSP3-MAC1_X-ray_Diamond: ISig(I) (overall),SARS-COV-2-NSP3-MAC1_X-ray_Diamond: Refinement Rwork,SARS-COV-2-NSP3-MAC1_X-ray_Diamond: Refinement Rfree,worked
ASAP-0011221,,Cn1ncc(-c2cc3c(N[C@@H](c4ccc5c(n4)OCCO5)C(C)(C)C)ncnc3[nH]2)c1C#N,,,,2023-11-21,CompChem ready,23:58:24,OK: No comment:No comment,18.5,P 1 21 1,,https://fragalysis.diamond.ac.uk/viewer/react/preview/direct/target/SARS2_Mac1B/mols/ASAP-0011221-001/L/P/C,,,,,,True
ASAP-0000455,,CC(C)[C@@H](Nc1ncnc2[nH]ccc12)c1cccs1,,,,2023-11-21,CompChem ready,21:40:24,OK: No comment:No comment,6.5,P 1 21 1,,https://fragalysis.diamond.ac.uk/viewer/react/preview/direct/target/SARS2_Mac1B/mols/ASAP-0000455-001/L/P/C,,,,,,True
ASAP-0013839,,CC(C)[C@H](Nc1ncnc2c1OCCO2)c1ccc2c(c1)S(=O)(=O)CCC2,,,,2023-11-21,CompChem ready,,,95.4,P 1 21 1,,https://fragalysis.diamond.ac.uk/viewer/react/preview/direct/target/SARS2_Mac1B/mols/ASAP-0013839-001/L/P/C,,,,,,True
ASAP-0000462,,CC(C)[C@@H](Nc1ncnc2[nH]ccc12)C(N)=O,,,,2023-11-21,Deposition ready,01:40:41,OK: No comment:No comment,32.9,P 43,,https://fragalysis.diamond.ac.uk/viewer/react/preview/direct/target/SARS2_Mac1A/mols/ASAP-0000462-001/L/P/C,,,,,,True
ASAP-0008304,,O=C(O)C[C@@H](NC(=O)c1ccc(NC(=O)NC2CC2)cc1)c1cccc(C(F)F)c1,4.13,0.0171,2.0,2023-11-21,CompChem ready,01:12:10,OK: No comment:Cracked,18.4,P 43,,https://fragalysis.diamond.ac.uk/viewer/react/preview/direct/target/SARS2_Mac1A/mols/ASAP-0008304-001/L/P/C,,,,,,True
ASAP-0011215,,CC(C)[C@@H](Nc1ncnc2[nH]c(-c3ccc4cncn4c3)cc12)c1ccc2c(c1)S(=O)(=O)CCC2,,,,2023-11-21,CompChem ready,00:04:50,,92.1,P 1 21 1,,https://fragalysis.diamond.ac.uk/viewer/react/preview/direct/target/SARS2_Mac1B/mols/ASAP-0011215-001/L/P/C,,,,,,True
ASAP-0000588,,OC(=O)C[C@@H](NC(=O)c1ncnc2[nH]ccc12)c1ccc(F)cc1,,,,2023-11-21,CompChem ready,02:04:12,OK: No comment:No comment,44.3,P 43,,https://fragalysis.diamond.ac.uk/viewer/react/preview/direct/target/SARS2_Mac1A/mols/ASAP-0000588-001/L/P/C,,,,,,True
ASAP-0012349,,CCNC(=O)c1cc2c(N[C@@H](c3ccc4c(c3)S(=O)(=O)CCC4)C(C)C)ncnc2[nH]1,,,,2023-11-21,CompChem ready,02/04/1900 19:54:14,,91.9,P 1 21 1,,https://fragalysis.diamond.ac.uk/viewer/react/preview/direct/target/SARS2_Mac1B/mols/ASAP-0012349-001/L/P/C,,,,,,True
ASAP-0013392,,CC(C)[C@@H](Nc1ncnc2[nH]c(C3=CCOC3)cc12)c1ccc2c(c1)S(=O)(=O)CCC2,,,,2023-11-21,CompChem ready,,,67.3,P 1 21 1,,https://fragalysis.diamond.ac.uk/viewer/react/preview/direct/target/SARS2_Mac1B/mols/ASAP-0013392-001/L/P/C,,,,,,True
ASAP-0008485,,CC(C)[C@@H](Nc1ncnc2[nH]c(-c3cnn(CC(=O)N(C)C)c3)cc12)c1ccc2c(c1)OCCO2,,,,2023-11-21,CompChem ready,02/04/1900 19:54:14,,10.1,P 1 21 1,,https://fragalysis.diamond.ac.uk/viewer/react/preview/direct/target/SARS2_Mac1B/mols/ASAP-0008485-001/L/P/C,,,,,,True
ASAP-0013730,,CC(C)[C@@H](Nc1ncnc2[nH]c(-c3ccn(C)c(=O)c3)cc12)c1ccc2c(c1)S(=O)(=O)CCC2,,,,2023-11-21,CompChem ready,31/12/1899 21:49:27,,33.1,P 1 21 1,,https://fragalysis.diamond.ac.uk/viewer/react/preview/direct/target/SARS2_Mac1B/mols/ASAP-0013730-001/L/P/C,,,,,,True
ASAP-0011144,,CC(C)[C@H](Nc1ncnc2[nH]c(-c3cnn(C)c3C#N)cc12)c1ccc2c(c1)S(=O)(=O)CCC2,7.81,0.0709,3.0,2023-11-21,CompChem ready,23:58:24,OK: No comment:No comment,6.2,P 1 21 1,,https://fragalysis.diamond.ac.uk/viewer/react/preview/direct/target/SARS2_Mac1B/mols/ASAP-0011144-001/L/P/C,,,,,,True
ASAP-0000877,,C[C@@H](Nc1ncnc2[nH]ccc12)[C@@H]1CCOC1,,,,2023-11-21,CompChem ready,02:11:02,OK: No comment:No comment,20.2,P 43,,https://fragalysis.diamond.ac.uk/viewer/react/preview/direct/target/SARS2_Mac1A/mols/ASAP-0000877-001/L/P/C,,,,,,True
ASAP-0011210,,CC(C)[C@@H](Nc1ncnc2[nH]ccc12)c1ccc2c(c1)[S@H](=O)CCO2,,,,2023-11-21,CompChem ready,00:05:40,,18.8,P 1 21 1,,https://fragalysis.diamond.ac.uk/viewer/react/preview/direct/target/SARS2_Mac1B/mols/ASAP-0011210-001/L/P/C,,,,,,True
ASAP-0013821,,CCNC(=O)c1cc2c(N[C@H](c3ccnc(N)c3)C(C)C)ncnc2[nH]1,,,,2023-11-21,CompChem ready,31/12/1899 21:49:27,,6.1,P 1 21 1,,https://fragalysis.diamond.ac.uk/viewer/react/preview/direct/target/SARS2_Mac1B/mols/ASAP-0013821-001/L/P/C,,,,,,True
