Code,Long code,Compound code,Smiles,Downloaded,ConformerSites,CanonSites,CrystalformSites,Quatassemblies,Crystalforms,[Other] AS2',[Other] S1,[Other] S1',[Other] S2,[Other] AS1'
Zx1495a,XX01ZVNS2B-x1495_B_301_XX01ZVNS2B-x1291+B+301+1,ASAP-0014903-001,Cc1cn2ccc(C(=O)Nc3ccncc3C)cc2n1,True,8a - XX01ZVNS2B-x1291,8 - B301,F1a - crystalform1 - XX01ZVNS2B-x0051/B/301/1,A1 - monomer,F1 - crystalform1,False,True,True,False,False
Zx1596a,XX01ZVNS2B-x1596_B_301_XX01ZVNS2B-x1291+B+301+1,ASAP-0014939-001,COc1cc(COc2cc(C)nc3ncnn23)nc(N2CCNCC2)n1,True,8a - XX01ZVNS2B-x1291,8 - B301,F1a - crystalform1 - XX01ZVNS2B-x0051/B/301/1,A1 - monomer,F1 - crystalform1,False,True,False,False,False
Zx1664a,XX01ZVNS2B-x1664_B_301_XX01ZVNS2B-x1291+B+301+1,MFP-0011172-001-002,Nc1ccc2c(Cl)cccc2n1,True,8a - XX01ZVNS2B-x1291,8 - B301,F1a - crystalform1 - XX01ZVNS2B-x0051/B/301/1,A1 - monomer,F1 - crystalform1,False,True,False,False,False
Zx1667a,XX01ZVNS2B-x1667_B_301_XX01ZVNS2B-x1291+B+301+1,MFP-0000865-003-002,Cc1cccc(C(=O)Nc2cc(N)ccc2C)c1,True,8a - XX01ZVNS2B-x1291,8 - B301,F1a - crystalform1 - XX01ZVNS2B-x0051/B/301/1,A1 - monomer,F1 - crystalform1,False,True,True,False,False
Zx1674a,XX01ZVNS2B-x1674_B_301_XX01ZVNS2B-x1291+B+301+1,MFP-0011177-001-002,Cc1cc(N)c2ccc(Cl)c(Cl)c2n1,True,8a - XX01ZVNS2B-x1291,8 - B301,F1a - crystalform1 - XX01ZVNS2B-x0051/B/301/1,A1 - monomer,F1 - crystalform1,False,True,False,False,False
Zx1680a,XX01ZVNS2B-x1680_B_301_XX01ZVNS2B-x1291+B+301+1,MFP-0011702-001-002,Cc1cc(N)c2cc(Cl)cc(Cl)c2n1,True,8a - XX01ZVNS2B-x1291,8 - B301,F1a - crystalform1 - XX01ZVNS2B-x0051/B/301/1,A1 - monomer,F1 - crystalform1,False,True,False,False,False
Zx1682a,XX01ZVNS2B-x1682_B_301_XX01ZVNS2B-x1291+B+301+1,MFP-0011703-001-002,Nc1ccnc2c(OC(F)(F)F)cccc12,True,8a - XX01ZVNS2B-x1291,8 - B301,F1a - crystalform1 - XX01ZVNS2B-x0051/B/301/1,A1 - monomer,F1 - crystalform1,False,True,False,False,False
Zx1688a,XX01ZVNS2B-x1688_B_301_XX01ZVNS2B-x1291+B+301+1,MFP-0011710-001-001,Cc1nc(-c2ccc(C)c3ncccc23)c[nH]1,True,8a - XX01ZVNS2B-x1291,8 - B301,F1a - crystalform1 - XX01ZVNS2B-x0051/B/301/1,A1 - monomer,F1 - crystalform1,False,True,True,False,False
Zx1713a,XX01ZVNS2B-x1713_B_301_XX01ZVNS2B-x1291+B+301+1,MFP-0011739-001-002,Nc1ccnc2c(Cl)cccc12,True,8a - XX01ZVNS2B-x1291,8 - B301,F1a - crystalform1 - XX01ZVNS2B-x0051/B/301/1,A1 - monomer,F1 - crystalform1,False,True,False,False,False
Zx1715a,XX01ZVNS2B-x1715_B_301_XX01ZVNS2B-x1291+B+301+1,MFP-0011741-001-001,Cc1cc(OCC(N)=O)c2cccc(C)c2n1,True,8a - XX01ZVNS2B-x1291,8 - B301,F1a - crystalform1 - XX01ZVNS2B-x0051/B/301/1,A1 - monomer,F1 - crystalform1,False,True,False,False,False
Zx1716a,XX01ZVNS2B-x1716_B_301_XX01ZVNS2B-x1291+B+301+1,MFP-0011753-001-001,CCOC(=O)c1cnc2c(C#N)cccc2c1N,True,8a - XX01ZVNS2B-x1291,8 - B301,F1a - crystalform1 - XX01ZVNS2B-x0051/B/301/1,A1 - monomer,F1 - crystalform1,False,True,False,False,False
Zx1719a,XX01ZVNS2B-x1719_B_301_XX01ZVNS2B-x1291+B+301+1,MFP-0011743-001-001,Nc1nc(-c2ccccn2)nc2ccccc12,True,8a - XX01ZVNS2B-x1291,8 - B301,F1a - crystalform1 - XX01ZVNS2B-x0051/B/301/1,A1 - monomer,F1 - crystalform1,False,True,True,False,False
Zx1726a,XX01ZVNS2B-x1726_B_301_XX01ZVNS2B-x1291+B+301+1,MFP-0012429-001-001,CC(=O)N[C@@H](CCCN)C(=O)Nc1cccc2c(Cl)cc(C)nc12,True,8a - XX01ZVNS2B-x1291,8 - B301,F1a - crystalform1 - XX01ZVNS2B-x0051/B/301/1,A1 - monomer,F1 - crystalform1,False,True,True,False,False
Zx1727a,XX01ZVNS2B-x1727_B_301_XX01ZVNS2B-x1291+B+301+1,MFP-0012433-001-001,CC(=O)N[C@@H](CCCC[NH3+])C(=O)Nc1cccc2c(Cl)cc(C)nc12,True,8a - XX01ZVNS2B-x1291,8 - B301,F1a - crystalform1 - XX01ZVNS2B-x0051/B/301/1,A1 - monomer,F1 - crystalform1,False,True,True,False,False
Zx1728a,XX01ZVNS2B-x1728_B_301_XX01ZVNS2B-x1291+B+301+1,MFP-0012503-001-003,CC(=O)N[C@@H](CCCN)C(=O)Nc1cccc2cccnc12,True,8a - XX01ZVNS2B-x1291,8 - B301,F1a - crystalform1 - XX01ZVNS2B-x0051/B/301/1,A1 - monomer,F1 - crystalform1,False,True,True,False,False
Zx1731a,XX01ZVNS2B-x1731_B_301_XX01ZVNS2B-x1291+B+301+1,MFP-0012466-002-003,Cc1cc(CO)c2cccc(NC(=O)C3CCNCC3)c2n1,True,8a - XX01ZVNS2B-x1291,8 - B301,F1a - crystalform1 - XX01ZVNS2B-x0051/B/301/1,A1 - monomer,F1 - crystalform1,False,True,True,False,False
Zx1743a,XX01ZVNS2B-x1743_B_301_XX01ZVNS2B-x1291+B+301+1,MFP-0012607-001-003,Cc1cc(CO)c2cccc(NC(=O)C3CCNCC3)c2n1,True,8a - XX01ZVNS2B-x1291,8 - B301,F1a - crystalform1 - XX01ZVNS2B-x0051/B/301/1,A1 - monomer,F1 - crystalform1,False,True,False,True,False
Zx1745a,XX01ZVNS2B-x1745_B_301_XX01ZVNS2B-x1291+B+301+1,MFP-0012625-001-002,Nc1cncc2ccccc12,True,8a - XX01ZVNS2B-x1291,8 - B301,F1a - crystalform1 - XX01ZVNS2B-x0051/B/301/1,A1 - monomer,F1 - crystalform1,False,True,False,False,False
Zx1752a,XX01ZVNS2B-x1752_B_301_XX01ZVNS2B-x1291+B+301+1,3632-093-001,CC(=O)N[C@@H](CCCN)C(=O)Nc1cccc2cccnc12,True,8a - XX01ZVNS2B-x1291,8 - B301,F1a - crystalform1 - XX01ZVNS2B-x0051/B/301/1,A1 - monomer,F1 - crystalform1,False,True,True,True,False
Zx1753a,XX01ZVNS2B-x1753_B_301_XX01ZVNS2B-x1291+B+301+1,3632-JP-070-004,Cc1cc(CO)c2cccc(NC(=O)[C@H]3C[C@H](N)C3)c2n1,True,8a - XX01ZVNS2B-x1291,8 - B301,F1a - crystalform1 - XX01ZVNS2B-x0051/B/301/1,A1 - monomer,F1 - crystalform1,False,True,True,False,False
Zx1756a,XX01ZVNS2B-x1756_B_301_XX01ZVNS2B-x1291+B+301+1,VERC112346,[NH3+][C@@H](Cc1ccc2ccccc2n1)C(=O)[O-],True,8a - XX01ZVNS2B-x1291,8 - B301,F1a - crystalform1 - XX01ZVNS2B-x0051/B/301/1,A1 - monomer,F1 - crystalform1,False,True,False,False,False
Zx1761a,XX01ZVNS2B-x1761_B_301_XX01ZVNS2B-x1291+B+301+1,NegAcid1-Am02,Cc1cc(CO)c2cccc(Cc3ccccc3C(=O)N3CC[C@@H](N)C3)c2n1,True,8a - XX01ZVNS2B-x1291,8 - B301,F1a - crystalform1 - XX01ZVNS2B-x0051/B/301/1,A1 - monomer,F1 - crystalform1,False,True,True,True,False
